timestamp,log_type,metric_name,count,mean_absolute_deviation,std_deviation,min_deviation,max_deviation
2025-06-14T20:40:36.470819,async_report_high,actual_ns,1303,2.01E+06,5042004.45,2400,172392000
2025-06-14T20:40:36.470819,async_report_high,full_ns,1303,1.68E+06,5090785.82,2500,172392100
2025-06-14T20:40:36.470819,async_report_low,actual_ns,1353,2.45E+06,19533033.86,3100,717201200
2025-06-14T20:40:36.470819,async_report_low,full_ns,1353,2.11E+06,19554427.23,100,717259600
2025-06-14T20:40:36.470819,native_report,actual_ns,494,9.00E+06,1047232.37,1770600,18389400
2025-06-14T20:40:36.470819,native_report,full_ns,494,1.00E+07,843750.66,1770900,19009200
